Transaction History,On-time Payments (%),Income Stability,Debt-to-Income Ratio,Credit Utilization (%),Existing Loans,Loan Repayment History,Salary,Savings,Employment Type,Credit Score,Bills Paid on Time,marketing,Utility Bill Payments,Gender,City,Income Variability,Age
3110.0,83.48419862316362,0.338781347222064,0.6664381326348983,61.49306938114988,3.0,1.0,76750.0,321024.0,Self-employed,502.4418665225164,Yes,7757.0,971.0,Male,Bangalore,High,69
24522.0,76.08211006910531,0.2194371731610238,0.7662895303709882,46.02775594642628,2.0,1.0,124081.0,264330.0,Salaried,652.1404006080762,Yes,5061.0,5256.0,Male,Bangalore,Low,24
27991.0,94.8949052387126,0.3272788011266063,0.7884836893880709,26.515110758171826,1.0,1.0,39068.0,40497.0,Salaried,618.6958332210883,Yes,159.0,8865.0,Female,Bangalore,High,70
18362.0,74.90993597808426,0.0177877626386017,1.122015384284409,42.12071203796072,2.0,1.0,117172.0,308890.0,Salaried,850.0,Yes,8087.0,3676.0,Male,Delhi,Low,43
28390.0,96.25235876715072,0.4568175175740536,0.191827210530492,16.35756026812844,2.0,1.0,81141.0,493820.0,Self-employed,709.1988889178272,Yes,3222.0,5911.0,Female,Hyderabad,High,43
23690.0,65.74129146758244,0.2037852137355118,0.4541446922406806,15.132628955439287,4.0,0.0,38376.0,207337.0,Self-employed,397.6466213664671,Yes,9903.0,9434.0,Female,Bangalore,Low,42
40401.0,63.425245862641766,0.3410439354053213,1.1328717183529342,77.78066493153496,4.0,1.0,44417.0,378352.0,Self-employed,335.13114736681894,No,1287.0,1530.0,Male,Delhi,High,54
41606.0,54.929146351120615,0.4032566218308258,0.2838016195156949,63.255803845913626,0.0,1.0,51091.0,422852.0,Self-employed,508.1432291016703,Yes,9748.0,6594.0,Female,Hyderabad,Low,58
28288.0,79.32558905187244,0.2150036055028452,0.6785117484884796,66.85360751532518,2.0,1.0,49734.0,143364.0,Salaried,527.638229216071,Yes,6547.0,552.0,Female,Kolkata,Low,46
12567.0,98.06912350718576,0.3382183360199814,0.6196142647922445,46.9973498480335,4.0,0.0,73015.0,108994.0,Salaried,451.4809869554549,Yes,1376.0,7679.0,Female,Mumbai,Low,62
13125.0,87.25724049139102,0.1286284890899085,1.044008107794132,29.422382571366363,3.0,0.0,137896.0,151632.0,Salaried,623.219440588554,Yes,5968.0,1241.0,Female,Delhi,High,29
47343.0,59.962297720415705,0.476794644092422,0.6542756110677569,51.97834083436194,0.0,1.0,162282.0,441748.0,Self-employed,634.9331173153175,Yes,6408.0,7837.0,Male,Hyderabad,Low,61
37827.0,75.61501804577333,0.1797611405980996,1.39195495043772,74.51259634337943,0.0,0.0,145513.0,206796.0,Salaried,550.4899704733339,Yes,3057.0,661.0,Male,Delhi,High,20
